Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2021-04-19 00:00:00+00:00,2235.65,2300.0,2080.0,2161.12,820592.26555,2021-04-19 23:59:59.999000+00:00,1800575928.1074944,1411498,405251.54082,889798938.6894947,0
2021-04-20 00:00:00+00:00,2161.12,2346.62,2055.0,2330.03,992240.809,2021-04-20 23:59:59.999000+00:00,2181209665.225936,1478664,500443.49263,1100996922.791374,0
2021-04-21 00:00:00+00:00,2330.26,2469.54,2235.16,2357.06,1177885.8617,2021-04-21 23:59:59.999000+00:00,2771995884.0361485,1905822,587138.28906,1381898508.989419,0
2021-04-22 00:00:00+00:00,2357.06,2644.47,2303.44,2397.94,2220753.09746,2021-04-22 23:59:59.999000+00:00,5508778905.781418,3110597,1124195.46709,2790172132.677034,0
2021-04-23 00:00:00+00:00,2397.94,2442.89,2107.0,2367.39,2532242.44185,2021-04-23 23:59:59.999000+00:00,5719925451.745559,2790382,1244539.8952,2812376010.1441708,0
2021-04-24 00:00:00+00:00,2367.39,2368.74,2154.8,2213.35,997688.94623,2021-04-24 23:59:59.999000+00:00,2246912953.271781,1275474,494456.79061,1113625193.1194513,0
2021-04-25 00:00:00+00:00,2214.08,2356.64,2168.0,2320.49,857517.38218,2021-04-25 23:59:59.999000+00:00,1948978895.4651551,1307545,431554.84567,981153774.0355633,0
2021-04-26 00:00:00+00:00,2320.44,2542.8,2303.64,2532.6,1076469.01367,2021-04-26 23:59:59.999000+00:00,2652330344.662024,1852607,547426.15132,1348633236.6804633,0
2021-04-27 00:00:00+00:00,2532.06,2680.0,2480.29,2666.13,771728.46451,2021-04-27 23:59:59.999000+00:00,1995139023.6148367,1255607,404885.92295,1047010126.5278009,0
2021-04-28 00:00:00+00:00,2666.13,2760.0,2559.44,2748.24,999383.1852,2021-04-28 23:59:59.999000+00:00,2673547154.2008715,1587100,497704.7228,1332642242.7525673,0
2021-04-29 00:00:00+00:00,2748.23,2798.0,2668.0,2757.04,863890.01069,2021-04-29 23:59:59.999000+00:00,2366133509.254801,1379738,428965.61199,1175245479.025322,0
2021-04-30 00:00:00+00:00,2757.04,2798.3,2723.09,2772.42,695339.20482,2021-04-30 23:59:59.999000+00:00,1917297701.0995226,1382521,348038.76271,959914846.7376653,0
2021-05-01 00:00:00+00:00,2772.42,2954.28,2743.41,2944.77,690260.07741,2021-05-01 23:59:59.999000+00:00,1979833188.0652049,1437394,363427.72753,1042474172.8140893,0
2021-05-02 00:00:00+00:00,2944.83,2985.0,2852.26,2949.56,571982.5445,2021-05-02 23:59:59.999000+00:00,1672310882.244701,1132280,294479.86893,861215743.5882931,0
2021-05-03 00:00:00+00:00,2949.33,3454.0,2949.32,3431.04,1329088.0628,2021-05-03 23:59:59.999000+00:00,4243786480.4151516,2502746,689402.61551,2199717718.4532933,0
2021-05-04 00:00:00+00:00,3431.04,3527.0,3160.0,3239.01,1826039.38558,2021-05-04 23:59:59.999000+00:00,6103102520.709462,3634236,913493.51765,3054026099.651378,0
2021-05-05 00:00:00+00:00,3239.01,3549.34,3200.23,3524.26,1174816.73588,2021-05-05 23:59:59.999000+00:00,3955994776.901158,2224441,581159.24143,1957116423.5450509,0
2021-05-06 00:00:00+00:00,3524.33,3605.4,3376.47,3489.73,920592.57706,2021-05-06 23:59:59.999000+00:00,3213427394.777265,1703109,457348.26339,1596792938.7543738,0
2021-05-07 00:00:00+00:00,3489.74,3587.0,3353.23,3479.53,760544.64781,2021-05-07 23:59:59.999000+00:00,2641740668.4696465,1382532,373468.63998,1297499899.4079983,0
2021-05-08 00:00:00+00:00,3479.79,3958.33,3449.27,3910.26,1130467.54852,2021-05-08 23:59:59.999000+00:00,4170897763.922394,2146967,576465.81586,2128434949.103605,0
2021-05-09 00:00:00+00:00,3910.26,3983.65,3726.08,3923.95,1000401.0082,2021-05-09 23:59:59.999000+00:00,3885039042.663707,2289303,501191.98456,1946904544.3583481,0
2021-05-10 00:00:00+00:00,3923.95,4208.0,3650.0,3945.88,1505897.92612,2021-05-10 23:59:59.999000+00:00,6079977785.4113865,3033133,745235.17136,3010349053.857574,0
2021-05-11 00:00:00+00:00,3946.63,4180.22,3771.64,4173.45,1095927.10403,2021-05-11 23:59:59.999000+00:00,4350260231.588787,2290977,546195.67057,2169036982.2185607,0
2021-05-12 00:00:00+00:00,4173.46,4372.72,3701.58,3823.21,1601842.74017,2021-05-12 23:59:59.999000+00:00,6673102683.974241,3188941,781569.68782,3259590092.4730773,0
2021-05-13 00:00:00+00:00,3810.15,4034.77,3500.0,3717.91,2068708.17427,2021-05-13 23:59:59.999000+00:00,7846531159.419686,3943562,1019129.41961,3869202428.6140804,0
2021-05-14 00:00:00+00:00,3717.92,4173.28,3691.35,4075.01,1153390.42631,2021-05-14 23:59:59.999000+00:00,4569415542.247888,2227244,589306.03131,2332631768.0700326,0
2021-05-15 00:00:00+00:00,4075.02,4134.05,3632.0,3646.68,1039174.88082,2021-05-15 23:59:59.999000+00:00,4030586492.9649377,2055345,498020.66776,1932010797.3563282,0
2021-05-16 00:00:00+00:00,3646.24,3879.0,3343.06,3582.1,1324065.65875,2021-05-16 23:59:59.999000+00:00,4788918304.497996,2532983,633005.25035,2292116232.8254237,0
2021-05-17 00:00:00+00:00,3581.81,3587.06,3102.0,3282.51,1904012.43998,2021-05-17 23:59:59.999000+00:00,6401071580.734825,2885352,933732.36068,3143594982.023329,0
2021-05-18 00:00:00+00:00,3282.25,3565.71,3240.0,3375.07,1287110.84143,2021-05-18 23:59:59.999000+00:00,4392873871.822427,2143887,648040.21083,2211619486.7345457,0
2021-05-19 00:00:00+00:00,3375.08,3441.73,1888.0,2438.92,4309836.31939,2021-05-19 23:59:59.999000+00:00,11641524166.98746,5548968,2090952.35775,5659752851.777948,0
2021-05-20 00:00:00+00:00,2438.92,2990.05,2155.0,2768.62,2942777.9301,2021-05-20 23:59:59.999000+00:00,7750201898.667442,4243052,1465674.26337,3868330692.8013415,0
2021-05-21 00:00:00+00:00,2767.87,2938.54,2101.0,2430.98,2727031.93514,2021-05-21 23:59:59.999000+00:00,6898701128.841129,3676164,1340165.22786,3393349822.1647105,0
2021-05-22 00:00:00+00:00,2430.98,2485.0,2145.0,2294.87,1684318.01157,2021-05-22 23:59:59.999000+00:00,3934313840.470727,2484734,822180.46988,1920309768.1238778,0
2021-05-23 00:00:00+00:00,2295.45,2381.57,1728.74,2096.39,2914548.73125,2021-05-23 23:59:59.999000+00:00,5907260139.54496,3761018,1410830.44221,2862585215.1775413,0
2021-05-24 00:00:00+00:00,2096.63,2675.0,2079.94,2648.43,2186632.92245,2021-05-24 23:59:59.999000+00:00,5180244966.721231,3299296,1103328.42714,2619744995.6376796,0
2021-05-25 00:00:00+00:00,2647.92,2750.0,2378.54,2705.11,2115349.50445,2021-05-25 23:59:59.999000+00:00,5442737549.40126,2976859,1050034.53412,2703460213.3438673,0
2021-05-26 00:00:00+00:00,2705.1,2910.0,2643.0,2884.94,1583799.59251,2021-05-26 23:59:59.999000+00:00,4416389128.58148,2726537,786524.11588,2193352742.234336,0
2021-05-27 00:00:00+00:00,2884.82,2889.74,2633.68,2742.23,1099029.91206,2021-05-27 23:59:59.999000+00:00,3033719144.3402123,1732113,540641.23243,1493018236.9716177,0
